File Name,Category,Marker #,Property Type,Data Key,Text needing improvement,Raw object path
"treasure_pods.ts","Treasure Pods","#1","Contents","treasure_luminousstrand_pod1359946455","Todo: Specify contents of this pod","treasure_luminousstrand_pod1359946455.contents.0"
"treasure_pods.ts","Treasure Pods","#1","Description","treasure_luminousstrand_pod1359946455","Todo: insert a description for this pod","treasure_luminousstrand_pod1359946455.description"
"treasure_pods.ts","Treasure Pods","#2","Contents","treasure_rainbowfields_pod1210187464","Todo: Specify contents of this pod","treasure_rainbowfields_pod1210187464.contents.0"
"treasure_pods.ts","Treasure Pods","#2","Description","treasure_rainbowfields_pod1210187464","Todo: insert a description for this pod","treasure_rainbowfields_pod1210187464.description"
"treasure_pods.ts","Treasure Pods","#3","Contents","treasure_rainbowfields_pod1958610754","Todo: Specify contents of this pod","treasure_rainbowfields_pod1958610754.contents.0"
"treasure_pods.ts","Treasure Pods","#3","Description","treasure_rainbowfields_pod1958610754","Todo: insert a description for this pod","treasure_rainbowfields_pod1958610754.description"
"teleport_pads.ts","Teleport Pads","#5","Name","teleporter_BluffsNavigation_x-1655_y-619","Todo: better name for ancient teleporter BluffsNavigation Ancient Teleporter","teleporter_BluffsNavigation_x-1655_y-619.name"
"teleport_pads.ts","Teleport Pads","#5","Description","teleporter_BluffsNavigation_x-1655_y-619","Todo: insert a description for this teleporter x-1655_y-619","teleporter_BluffsNavigation_x-1655_y-619.description"
"teleport_pads.ts","Teleport Pads","#4","Name","teleporter_Bluffs_x-1343_y-709","Todo: better name for ancient teleporter Bluffs Ancient Teleporter","teleporter_Bluffs_x-1343_y-709.name"
"teleport_pads.ts","Teleport Pads","#4","Description","teleporter_Bluffs_x-1343_y-709","Todo: insert a description for this teleporter x-1343_y-709","teleporter_Bluffs_x-1343_y-709.description"
"teleport_pads.ts","Teleport Pads","#11","Name","teleporter_ConservatoryFields_x-236_y525","Todo: better name for ancient teleporter ConservatoryFields Ancient Teleporter","teleporter_ConservatoryFields_x-236_y525.name"
"teleport_pads.ts","Teleport Pads","#11","Description","teleporter_ConservatoryFields_x-236_y525","Todo: insert a description for this teleporter x-236_y525","teleporter_ConservatoryFields_x-236_y525.description"
"teleport_pads.ts","Teleport Pads","#6","Name","teleporter_Conservatory_Arboretum_x-162_y50","Todo: better name for ancient teleporter Conservatory_Arboretum Ancient Teleporter","teleporter_Conservatory_Arboretum_x-162_y50.name"
"teleport_pads.ts","Teleport Pads","#6","Description","teleporter_Conservatory_Arboretum_x-162_y50","Todo: insert a description for this teleporter x-162_y50","teleporter_Conservatory_Arboretum_x-162_y50.description"
"teleport_pads.ts","Teleport Pads","#7","Name","teleporter_Conservatory_Arboretum_x-394_y33","Todo: better name for ancient teleporter Conservatory_Arboretum Ancient Teleporter","teleporter_Conservatory_Arboretum_x-394_y33.name"
"teleport_pads.ts","Teleport Pads","#7","Description","teleporter_Conservatory_Arboretum_x-394_y33","Todo: insert a description for this teleporter x-394_y33","teleporter_Conservatory_Arboretum_x-394_y33.description"
"teleport_pads.ts","Teleport Pads","#8","Name","teleporter_Conservatory_Digsite_x-147_y335","Todo: better name for ancient teleporter Conservatory_Digsite Ancient Teleporter","teleporter_Conservatory_Digsite_x-147_y335.name"
"teleport_pads.ts","Teleport Pads","#8","Description","teleporter_Conservatory_Digsite_x-147_y335","Todo: insert a description for this teleporter x-147_y335","teleporter_Conservatory_Digsite_x-147_y335.description"
"teleport_pads.ts","Teleport Pads","#9","Name","teleporter_Conservatory_Digsite_x-529_y274","Todo: better name for ancient teleporter Conservatory_Digsite Ancient Teleporter","teleporter_Conservatory_Digsite_x-529_y274.name"
"teleport_pads.ts","Teleport Pads","#9","Description","teleporter_Conservatory_Digsite_x-529_y274","Todo: insert a description for this teleporter x-529_y274","teleporter_Conservatory_Digsite_x-529_y274.description"
"teleport_pads.ts","Teleport Pads","#10","Name","teleporter_Conservatory_Garden_x-284_y52","Todo: better name for ancient teleporter Conservatory_Garden Ancient Teleporter","teleporter_Conservatory_Garden_x-284_y52.name"
"teleport_pads.ts","Teleport Pads","#10","Description","teleporter_Conservatory_Garden_x-284_y52","Todo: insert a description for this teleporter x-284_y52","teleporter_Conservatory_Garden_x-284_y52.description"
"teleport_pads.ts","Teleport Pads","#14","Name","teleporter_GorgeGateTransfer_x-234_y-625","Todo: better name for ancient teleporter GorgeGateTransfer Ancient Teleporter","teleporter_GorgeGateTransfer_x-234_y-625.name"
"teleport_pads.ts","Teleport Pads","#14","Description","teleporter_GorgeGateTransfer_x-234_y-625","Todo: insert a description for this teleporter x-234_y-625","teleporter_GorgeGateTransfer_x-234_y-625.description"
"teleport_pads.ts","Teleport Pads","#15","Name","teleporter_GorgeNavigation_x-767_y-700","Todo: better name for ancient teleporter GorgeNavigation Ancient Teleporter","teleporter_GorgeNavigation_x-767_y-700.name"
"teleport_pads.ts","Teleport Pads","#15","Description","teleporter_GorgeNavigation_x-767_y-700","Todo: insert a description for this teleporter x-767_y-700","teleporter_GorgeNavigation_x-767_y-700.description"
"teleport_pads.ts","Teleport Pads","#16","Name","teleporter_GorgeNavigation_x-884_y-582","Todo: better name for ancient teleporter GorgeNavigation Ancient Teleporter","teleporter_GorgeNavigation_x-884_y-582.name"
"teleport_pads.ts","Teleport Pads","#16","Description","teleporter_GorgeNavigation_x-884_y-582","Todo: insert a description for this teleporter x-884_y-582","teleporter_GorgeNavigation_x-884_y-582.description"
